datetime,bid1,ask1,price,volume,bid1_volume,ask1_volume
2023-01-11 09:00:00,427.45,427.55,427.5,8019528,17,39
2023-01-11 09:00:01,427.44,427.59,427.52,8019615,67,31
2023-01-11 09:00:02,427.43,427.67,427.55,8019617,84,69
2023-01-11 09:00:03,427.52,427.81,427.67,8019626,58,12
2023-01-11 09:00:04,427.74,428.0,427.87,8019629,59,16
2023-01-11 09:00:05,427.82,428.12,427.97,8019629,61,35
2023-01-11 09:00:06,427.9,428.03,427.97,8019634,90,20
2023-01-11 09:00:07,427.81,427.96,427.89,8019639,27,65
2023-01-11 09:00:08,427.65,428.07,427.86,8019645,43,59
2023-01-11 09:00:09,427.61,427.94,427.77,8019648,78,16
2023-01-11 09:00:10,427.74,427.89,427.82,8019650,87,62
2023-01-11 09:00:11,427.64,427.97,427.8,8019650,64,14
2023-01-11 09:00:12,427.65,428.04,427.85,8019652,86,48
2023-01-11 09:00:13,427.73,427.9,427.82,8019659,30,89
2023-01-11 09:00:14,427.55,427.94,427.75,8019659,79,32
2023-01-11 09:00:15,427.6,427.98,427.79,8019660,17,61
2023-01-11 09:00:16,427.66,427.84,427.75,8019669,46,30
2023-01-11 09:00:17,427.57,427.87,427.72,8019673,48,18
2023-01-11 09:00:18,427.66,427.8,427.73,8019679,38,45
2023-01-11 09:00:19,427.45,427.77,427.61,8019680,62,81
